country,foreign nationality,outflow,inflow
United Kingdom,Australia,6700,22187
United Kingdom,Austria,1103,1401
United Kingdom,Belgium,1865,1739
United Kingdom,Czech Republic,56,323
United Kingdom,Finland,154,343
United Kingdom,Germany,8840,10726
United Kingdom,Hungary,277,414
United Kingdom,Iceland,74,161
United Kingdom,Ireland,5600,5000
United Kingdom,Italy,734,1482
United Kingdom,Japan,5622,6673
United Kingdom,Korea,1995,1305
United Kingdom,Luxembourg,334,452
United Kingdom,Netherlands,4355,5766
United Kingdom,New Zealand,4607,10264
United Kingdom,Norway,837,984
United Kingdom,Slovenia,6,83
United Kingdom,Spain,18451,14991
United Kingdom,Sweden,825,1666
United Kingdom,Switzerland,3471,3924
Australia,Austria,224,288
Australia,Belgium,110,127
Australia,Czech Republic,45,62
Australia,Finland,33,58
Australia,Germany,1828,2888
Australia,Hungary,14,51
Australia,Iceland,17,25
Australia,Italy,82,213
Australia,Japan,2692,3619
Australia,Korea,1721,1668
Australia,Luxembourg,18,24
Australia,Netherlands,704,1015
Australia,New Zealand,2282,5546
Australia,Norway,169,188
Australia,Slovenia,5,8
Australia,Spain,145,411
Australia,Sweden,273,334
Australia,Switzerland,364,458
Australia,United Kingdom,6000,16000
Colombia,Australia,100,939
Colombia,Austria,67,158
Colombia,Belgium,118,242
Colombia,Czech Republic,23,29
Colombia,Finland,10,35
Colombia,Germany,1786,2751
Colombia,Hungary,2,30
Colombia,Iceland,5,7
Colombia,Italy,185,773
Colombia,Japan,287,364
Colombia,Korea,118,107
Colombia,Luxembourg,8,19
Colombia,Netherlands,304,438
Colombia,New Zealand,40,189
Colombia,Norway,44,76
Colombia,Spain,7273,9368
Colombia,Sweden,107,284
Colombia,Switzerland,199,419
France,Australia,400,1616
France,Austria,918,1199
France,Belgium,8496,11977
France,Czech Republic,45,252
France,Finland,167,226
France,Germany,12920,14908
France,Hungary,229,376
France,Iceland,48,134
France,Italy,869,1703
France,Japan,3765,4990
France,Korea,2150,1821
France,Luxembourg,1836,4119
France,Netherlands,3011,4038
France,New Zealand,685,4481
France,Norway,642,746
France,Slovak Republic,1,77
France,Slovenia,7,178
France,Spain,6847,9020
France,Sweden,514,1001
France,Switzerland,7088,14767
France,United Kingdom,7000,15000
Indonesia,Australia,300,2076
Indonesia,Austria,67,158
Indonesia,Belgium,91,164
Indonesia,Czech Republic,16,26
Indonesia,Finland,13,38
Indonesia,Germany,1633,2470
Indonesia,Hungary,3,48
Indonesia,Iceland,2,7
Indonesia,Italy,37,218
Indonesia,Japan,8441,14295
Indonesia,Korea,7111,8538
Indonesia,Luxembourg,1,4
Indonesia,Netherlands,1053,1481
Indonesia,New Zealand,125,534
Indonesia,Norway,91,90
Indonesia,Spain,55,160
Indonesia,Sweden,67,124
Indonesia,Switzerland,187,248
Indonesia,United Kingdom,1000,1000
Spain,Australia,100,552
Spain,Austria,1087,1613
Spain,Belgium,2335,4137
Spain,Czech Republic,16,112
Spain,Finland,137,284
Spain,Germany,16435,23598
Spain,Hungary,77,322
Spain,Iceland,75,178
Spain,Italy,479,1906
Spain,Japan,1605,1827
Spain,Korea,274,244
Spain,Luxembourg,229,689
Spain,Netherlands,3542,4957
Spain,New Zealand,103,209
Spain,Norway,604,1272
Spain,Slovak Republic,2,85
Spain,Slovenia,5,299
Spain,Sweden,459,1286
Spain,Switzerland,3099,7042
Spain,United Kingdom,9000,20000