Country,Kpi,Migrants
Austria,inflow,1492374
Austria,outflow,575828
Belgium,inflow,1387940
Belgium,outflow,530990
Bulgaria,inflow,102113
Bulgaria,outflow,1176390
Croatia,inflow,576883
Croatia,outflow,865147
Czech Republic,inflow,405093
Czech Republic,outflow,932582
Denmark,inflow,572520
Denmark,outflow,250675
Estonia,inflow,202348
Estonia,outflow,198042
Finland,inflow,315881
Finland,outflow,295077
France,inflow,7784418
France,outflow,2145975
Germany,inflow,12005690
Germany,outflow,4045411
Greece,inflow,1242514
Greece,outflow,871643
Hungary,inflow,449632
Hungary,outflow,595937
Ireland,inflow,746260
Ireland,outflow,882022
Italy,inflow,5788875
Italy,outflow,2900924
Latvia,inflow,263126
Latvia,outflow,337678
Lithuania,inflow,136036
Lithuania,outflow,544120
Luxembourg,inflow,249325
Luxembourg,outflow,61058
Malta,inflow,41442
Malta,outflow,103392
Netherlands,inflow,1979486
Netherlands,outflow,981434
Poland,inflow,619403
Poland,outflow,4449789
Portugal,inflow,837257
Portugal,outflow,2306321
Romania,inflow,226943
Romania,outflow,3408118
Slovakia,inflow,177190
Slovakia,outflow,341620
Slovenia,inflow,235966
Slovenia,outflow,140490
Spain,inflow,5852953
Spain,outflow,1251004
Sweden,inflow,1639771
Sweden,outflow,333428
Ukraine,inflow,4834898
Ukraine,outflow,5825745
United Kingdom,inflow,8543120
United Kingdom,outflow,4917460